deck_id,deck_url,mtgo_url,placement,players,placement_of,deck_file
808713,https://www.mtgtop8.com/event?e=80077&d=808713&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808713&f=cEDH,1,32,1/32,..\data\mtgtop8\deck_808713.txt
808714,https://www.mtgtop8.com/event?e=80077&d=808714&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808714&f=cEDH,2,32,2/32,..\data\mtgtop8\deck_808714.txt
808715,https://www.mtgtop8.com/event?e=80077&d=808715&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808715&f=cEDH,3,32,3/32,..\data\mtgtop8\deck_808715.txt
808716,https://www.mtgtop8.com/event?e=80077&d=808716&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808716&f=cEDH,4,32,4/32,..\data\mtgtop8\deck_808716.txt
808717,https://www.mtgtop8.com/event?e=80077&d=808717&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808717&f=cEDH,5,32,5/32,..\data\mtgtop8\deck_808717.txt
808718,https://www.mtgtop8.com/event?e=80077&d=808718&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808718&f=cEDH,6,32,6/32,..\data\mtgtop8\deck_808718.txt
808719,https://www.mtgtop8.com/event?e=80077&d=808719&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808719&f=cEDH,7,32,7/32,..\data\mtgtop8\deck_808719.txt
808720,https://www.mtgtop8.com/event?e=80077&d=808720&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808720&f=cEDH,8,32,8/32,..\data\mtgtop8\deck_808720.txt
808721,https://www.mtgtop8.com/event?e=80077&d=808721&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808721&f=cEDH,9,32,9/32,..\data\mtgtop8\deck_808721.txt
808722,https://www.mtgtop8.com/event?e=80077&d=808722&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80077&d=808722&f=cEDH,10,32,10/32,..\data\mtgtop8\deck_808722.txt
808538,https://www.mtgtop8.com/event?e=80053&d=808538&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=80053&d=808538&f=cEDH,1,19,1/19,..\data\mtgtop8\deck_808538.txt
